kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
WSZYSTKIE BUTY,Szpilki różowo-czarne,320,"420,00 ",   D03065-3359-001,"https://baldowski.b-cdn.net/9715-new_cart_photo/szpilki-rozowo-czarne.jpg,https://baldowski.b-cdn.net/9717-new_cart_photo/szpilki-rozowo-czarne.jpg",37,Szpilki  na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i zamszowej., różowo-czarny
WSZYSTKIE BUTY,Sandały multicolor,320,"420,00 ",   D03001-7633-004,"https://baldowski.b-cdn.net/9683-new_cart_photo/sandaly-multicolor.jpg,https://baldowski.b-cdn.net/9685-new_cart_photo/sandaly-multicolor.jpg","37,40",Sandały  na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej oraz wysokogatunkowego materiału, multicolor
WSZYSTKIE BUTY,Klapki czarne,270,"420,00 ",   D03007 skóra czarna klapek,"https://baldowski.b-cdn.net/9174-new_cart_photo/klapki-czarne.jpg,https://baldowski.b-cdn.net/9176-new_cart_photo/klapki-czarne.jpg","36,37,38,39",Klapki czarne na 5-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
SZPILKI,Szpilki czerwone,420,,   D03053-1451-006,"https://baldowski.b-cdn.net/9739-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/9741-new_cart_photo/szpilki-czerwone.jpg","35,36,37,39,40",Czerwone buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony
SZPILKI,Szpilki czerwone,420,,   D03040-1451-004,"https://baldowski.b-cdn.net/9707-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/9709-new_cart_photo/szpilki-czerwone.jpg","36,37,38,39,40",Czerwone buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony
SZPILKI,Szpilki czerwone,430,,   D00580-1451-264,"https://baldowski.b-cdn.net/9655-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/9657-new_cart_photo/szpilki-czerwone.jpg","36,37,39",Czerwone buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony
SZPILKI,Szpilki żółte,330,"430,00 ",   D00580-1451-231,"https://baldowski.b-cdn.net/8391-new_cart_photo/szpilki-zolte.jpg,https://baldowski.b-cdn.net/8393-new_cart_photo/szpilki-zolte.jpg","39,40,41",Szpilki żółte na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., żółte
SZPILKI,Szpilki multicolor,460,"560,00 ",   D00580-1451-272,"https://baldowski.b-cdn.net/10031-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/10033-new_cart_photo/szpilki-multicolor.jpg","37,38,39",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
SZPILKI,Szpilki w kolorze fuksji,510,,   D00580-1451-230/P,"https://baldowski.b-cdn.net/8384-new_cart_photo/szpilki-w-kolorze-fuksji.jpg,https://baldowski.b-cdn.net/8385-new_cart_photo/szpilki-w-kolorze-fuksji.jpg","35,36,37,38,39",Buty w kolorze fuksji na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., fuksja
SZPILKI,Szpilki multicolor,380,"480,00 ",   D00580-1451-249,"https://baldowski.b-cdn.net/8427-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8428-new_cart_photo/szpilki-multicolor.jpg","37,38,40,41",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
SZPILKI,Szpilki multicolor,380,"480,00 ",   D00580-1451-247,"https://baldowski.b-cdn.net/8928-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8930-new_cart_photo/szpilki-multicolor.jpg","36,37,40,41",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
SZPILKI,Szpilki multicolor,380,"480,00 ",   D00580-1451-248,"https://baldowski.b-cdn.net/8419-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8420-new_cart_photo/szpilki-multicolor.jpg","36,37,38,39,40,41",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
SZPILKI,Szpilki multicolor,420,,   D00580-1451-235,"https://baldowski.b-cdn.net/8411-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8412-new_cart_photo/szpilki-multicolor.jpg","36,37,40",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
SZPILKI,Szpilki czarne z ozdobnym spodem,610,,   D00580-1451-S03,"https://baldowski.b-cdn.net/10408-new_cart_photo/szpilki-czarne-z-ozdobnym-spodem.jpg,https://baldowski.b-cdn.net/10410-new_cart_photo/szpilki-czarne-z-ozdobnym-spodem.jpg","35,36,37,38,39,40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
WSZYSTKIE BUTY,Sandały nude,300,"450,00 ",   D02220-4400-006,"https://baldowski.b-cdn.net/6745-new_cart_photo/sandaly-nude.jpg,https://baldowski.b-cdn.net/6747-new_cart_photo/sandaly-nude.jpg",37,Sandały nude na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej oraz z zamszowej., nude
WSZYSTKIE BUTY,Sandały czarno-srebrne,380,"480,00 ",   D02599-3436-003,"https://baldowski.b-cdn.net/6448-new_cart_photo/sandaly-czarno-srebrne.jpg,https://baldowski.b-cdn.net/6377-new_cart_photo/sandaly-czarno-srebrne.jpg","36,37,40",Sandały czarne w srebrne kropki na 9-centymetrowym obcasie. ,"Wykonane ze skóry naturalnej, zamszowej.", czarny
WSZYSTKIE BUTY,Sandały beżowe,330,"430,00 ",   D02599-3436-001,"https://baldowski.b-cdn.net/6450-new_cart_photo/sandaly-bezowe.jpg,https://baldowski.b-cdn.net/6452-new_cart_photo/sandaly-bezowe.jpg","36,41",Sandały beżowe w czerwone kropki na 9-centymetrowym obcasie. ,"Wykonane ze skóry naturalnej, zamszowej.", beżowy
WSZYSTKIE BUTY,Sandały niebieskie,330,"430,00 ",   D02599-3436-002,"https://baldowski.b-cdn.net/6596-new_cart_photo/sandaly-niebieskie.jpg,https://baldowski.b-cdn.net/6269-new_cart_photo/sandaly-niebieskie.jpg",41,Sandały niebieskie w białe kropki na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i zamszowej., niebieskie
WSZYSTKIE BUTY,Szpilki kaszmirowe,290,"440,00 ",   D02498-1451-002,"https://baldowski.b-cdn.net/6021-new_cart_photo/szpilki-kaszmirowe.jpg,https://baldowski.b-cdn.net/6484-new_cart_photo/szpilki-kaszmirowe.jpg","40,41",Niebieskie buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., kaszmirowy
WSZYSTKIE BUTY,Szpilki w kolorze camel,430,,   D02598-1451-001,"https://baldowski.b-cdn.net/6553-new_cart_photo/szpilki-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/6554-new_cart_photo/szpilki-w-kolorze-camel.jpg","40,41",Szpilki w kolorze camel na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., camel
WSZYSTKIE BUTY,Botki czarne,470,"570,00 ",   D02103-E803-013/ 1451-021,"https://baldowski.b-cdn.net/4171-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/4172-new_cart_photo/botki-czarne.jpg","36,37,40",Czarne buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czarny
WSZYSTKIE BUTY,Botki w kolorze camel,420,"520,00 ",   D02103-E803-019 (D02103-1451-022,"https://baldowski.b-cdn.net/4967-new_cart_photo/botki-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/4968-new_cart_photo/botki-w-kolorze-camel.jpg","35,40",Buty w kolorze camel na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., camel
BIUROWE,Czółenka brązowe,490,,   D00580-1459-057,"https://baldowski.b-cdn.net/10222-new_cart_photo/czolenka-brazowe.jpg,https://baldowski.b-cdn.net/10224-new_cart_photo/czolenka-brazowe.jpg","38,39,40,41",Czółenka w kolorze brązowym  na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., brązowy
BIUROWE,Czółenka cappuccino,330,"430,00 ",   D03192-8118-002,"https://baldowski.b-cdn.net/9795-new_cart_photo/czolenka-cappuccino.jpg,https://baldowski.b-cdn.net/9797-new_cart_photo/czolenka-cappuccino.jpg",37,Czółenka cappuccino na 5-centymetrowym obcasie. ,Wykonane ze skóry naturalnej, cappuccino
BIUROWE,Czółenka granatowe,330,"430,00 ",   D03192-8118-001,"https://baldowski.b-cdn.net/9787-new_cart_photo/czolenka-granatowe.jpg,https://baldowski.b-cdn.net/9789-new_cart_photo/czolenka-granatowe.jpg",36,Czółenka granatowe  na 5-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., granat
BIUROWE,Buty płaskie w kolorze ecru,340,"490,00 ",   W00507/8321/S03,"https://baldowski.b-cdn.net/3120-new_cart_photo/buty-plaskie-w-kolorze-ecru.jpg,https://baldowski.b-cdn.net/3122-new_cart_photo/buty-plaskie-w-kolorze-ecru.jpg",41,Buty w kolorze ecru na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., ecru
BOUTIQUE ŚLUBNY ,Szpilki złote,420,,   D01806-0581-009/D01806-1577-009,"https://baldowski.b-cdn.net/6897-new_cart_photo/szpilki-złote.jpg,https://baldowski.b-cdn.net/6899-new_cart_photo/szpilki-złote.jpg","36,38,39,40","Szpilki złote na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., złoty
BOUTIQUE ŚLUBNY ,Szpilki ślubne białe,420,,   D01677-0581-007,"https://baldowski.b-cdn.net/6803-new_cart_photo/szpilki-slubne-biale.jpg,https://baldowski.b-cdn.net/6804-new_cart_photo/szpilki-slubne-biale.jpg","37,39,40,41","Białe szpilki na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki ślubne beżowe,500,,   D01677-0581-001,"https://baldowski.b-cdn.net/10657-new_cart_photo/szpilki-slubne-bezowe.jpg,https://baldowski.b-cdn.net/10659-new_cart_photo/szpilki-slubne-bezowe.jpg","36,38,39,41","Beżowe szpilki na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., beżowy
BOUTIQUE ŚLUBNY ,Szpilki waniliowe,490,,   D02443-2835-014,"https://baldowski.b-cdn.net/9831-new_cart_photo/szpilki-waniliowe.jpg,https://baldowski.b-cdn.net/9833-new_cart_photo/szpilki-waniliowe.jpg","35,38,40",Szpilki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., waniliowy
WSZYSTKIE BUTY,Sandały w kolorze nude,320,"420,00 ",   D03032-3436-001,"https://baldowski.b-cdn.net/8992-new_cart_photo/sandaly-w-kolorze-nude.jpg,https://baldowski.b-cdn.net/8994-new_cart_photo/sandaly-w-kolorze-nude.jpg","36,37",Sandały w kolorze nude na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej., nude
WSZYSTKIE BUTY,Botki oliwkowe,540,"640,00 ",   D02747-1451-004,"https://baldowski.b-cdn.net/7776-new_cart_photo/botki-oliwkowe.jpg,https://baldowski.b-cdn.net/7777-new_cart_photo/botki-oliwkowe.jpg","37,40",Botki oliwkowe na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej zamszowej., oliwkowy
WSZYSTKIE BUTY,Sandały nude,355,"455,00 ",   D02459-2835-001,"https://baldowski.b-cdn.net/6906-new_cart_photo/sandały-nude.jpg,https://baldowski.b-cdn.net/6907-new_cart_photo/sandały-nude.jpg","36,37,38,39",Sandały nude na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej oraz z zamszowej., nude
WSZYSTKIE BUTY,Botki czarne,540,"640,00 ",   D02747-1451-001,"https://baldowski.b-cdn.net/7760-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/7762-new_cart_photo/botki-czarne.jpg",40,Botki czarne na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej zamszowej., czarny
WSZYSTKIE BUTY,Sandały camel,355,"455,00 ",   D02459-2835-004,"https://baldowski.b-cdn.net/6857-new_cart_photo/sandały-camel.jpg,https://baldowski.b-cdn.net/6858-new_cart_photo/sandały-camel.jpg",41,Sandały camel na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej oraz z zamszowej., camel
WSZYSTKIE BUTY,Sandały czarno-białe,355,"455,00 ",   D02459-2835-005,"https://baldowski.b-cdn.net/6732-new_cart_photo/sandaly-czarno-biale.jpg,https://baldowski.b-cdn.net/6734-new_cart_photo/sandaly-czarno-biale.jpg","36,39",Sandały biało-czarne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej oraz z zamszowej., czarny
WSZYSTKIE BUTY,Sandały zielone,320,"470,00 ",   D01624-3436-001,"https://baldowski.b-cdn.net/6703-new_cart_photo/sandaly-zielone.jpg,https://baldowski.b-cdn.net/6705-new_cart_photo/sandaly-zielone.jpg",36,Sandały zielone na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej oraz z zamszowej., zielony
WSZYSTKIE BUTY,Sandały camel jasny,320,"470,00 ",   D01624-3436-011,"https://baldowski.b-cdn.net/6284-new_cart_photo/sandaly-camel-jasny.jpg,https://baldowski.b-cdn.net/6286-new_cart_photo/sandaly-camel-jasny.jpg","37,39,40,41",Sandały camel jasny na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej zamszowej., camel jasny
WSZYSTKIE BUTY,Sandały bordowe,320,"470,00 ",   D01624-3436-012,"https://baldowski.b-cdn.net/6683-new_cart_photo/sandaly-bordowe.jpg,https://baldowski.b-cdn.net/6685-new_cart_photo/sandaly-bordowe.jpg","36,37,38,39,40,41",Sandały w kolorze bordowym na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej zamszowej., bordowy
BOUTIQUE ŚLUBNY ,Szpilki camel,420,,   D02443-2835-008,"https://baldowski.b-cdn.net/5456-new_cart_photo/szpilki-camel.jpg,https://baldowski.b-cdn.net/5480-new_cart_photo/szpilki-camel.jpg","36,37",Szpilki camel na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., camel
BOUTIQUE ŚLUBNY ,Szpilki złote,490,,   D02443-2835-012,"https://baldowski.b-cdn.net/5499-new_cart_photo/szpilki-slubne-zlote.jpg,https://baldowski.b-cdn.net/5500-new_cart_photo/szpilki-slubne-zlote.jpg","36,40,41",Złote szpilki ślubne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., złoty
BOUTIQUE ŚLUBNY ,Szpilki ślubne białe,490,,   D02443-2835-013,"https://baldowski.b-cdn.net/5406-new_cart_photo/szpilki-slubne-biale.jpg,https://baldowski.b-cdn.net/5407-new_cart_photo/szpilki-slubne-biale.jpg","36,37,38,41",Białe szpilki ślubne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki ślubne białe,530,,   D02491-2835-001,"https://baldowski.b-cdn.net/5421-new_cart_photo/szpilki-slubne-biale.jpg,https://baldowski.b-cdn.net/5422-new_cart_photo/szpilki-slubne-biale.jpg","36,37,41",Białe szpilki ślubne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki ślubne srebrne,530,,   D02491-2835-002,"https://baldowski.b-cdn.net/5447-new_cart_photo/szpilki-slubne-srebrne.jpg,https://baldowski.b-cdn.net/5448-new_cart_photo/szpilki-slubne-srebrne.jpg","37,39,40,41",Srebrne szpilki ślubne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., srebrny
BOUTIQUE ŚLUBNY ,Szpilki ślubne w kolorze wanilii,420,,   D01468-1451-042,"https://baldowski.b-cdn.net/6557-new_cart_photo/szpilki-slubne-w-kolorze-wanilii.jpg,https://baldowski.b-cdn.net/6558-new_cart_photo/szpilki-slubne-w-kolorze-wanilii.jpg","38,39,40,41",Szpilki w kolorze wanilii na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., waniliowy
BOUTIQUE ŚLUBNY ,Szpilki białe,430,,   D02598-1451-003,"https://baldowski.b-cdn.net/6432-new_cart_photo/szpilki-biale.jpg,https://baldowski.b-cdn.net/6433-new_cart_photo/szpilki-biale.jpg","36,38,39,40,41",Szpilki w kolorze białym na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki beżowe,440,,   D03177-1451-001,"https://baldowski.b-cdn.net/9097-new_cart_photo/szpilki-bezowe.jpg,https://baldowski.b-cdn.net/9099-new_cart_photo/szpilki-bezowe.jpg","37,39",Buty beżowe na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beż
BOUTIQUE ŚLUBNY ,Szpilki srebrne,480,,   D03157-1451-003,"https://baldowski.b-cdn.net/9089-new_cart_photo/szpilki-srebrne.jpg,https://baldowski.b-cdn.net/9091-new_cart_photo/szpilki-srebrne.jpg",37,Szpilki srebrne na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., srebrny
BOUTIQUE ŚLUBNY ,Szpilki różowe,440,"540,00 ",   D03191-1451-001,"https://baldowski.b-cdn.net/10087-new_cart_photo/szpilki-rozowe.jpg,https://baldowski.b-cdn.net/10089-new_cart_photo/szpilki-rozowe.jpg","36,37,38,40,41",Różowe szpilki na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., różowy
BOUTIQUE ŚLUBNY ,Szpilki białe,440,,   D03207-1451-001,"https://baldowski.b-cdn.net/8661-new_cart_photo/szpilki-biale.jpg,https://baldowski.b-cdn.net/8663-new_cart_photo/szpilki-biale.jpg","36,37,39,40",Szpilki białe na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
WSZYSTKIE BUTY,Sandały czarne,300,"450,00 ",   D03021-4744-002,"https://baldowski.b-cdn.net/9699-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/9701-new_cart_photo/sandaly-czarne.jpg","35,36,37,39,40",Sandały czarne na 7-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, zamszowej.", czarny
WSZYSTKIE BUTY,Sandały czarne,340,"490,00 ",   D02584 Zamsz Czarny,"https://baldowski.b-cdn.net/9639-new_cart_photo/sandaly-czarne.jpg,https://baldowski.b-cdn.net/9641-new_cart_photo/sandaly-czarne.jpg","35,36,37,38,39",Sandały czarne na 7-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, zamszowej.", czarny
BOUTIQUE ŚLUBNY ,Szpilki białe,440,,   D03208-1451-001,"https://baldowski.b-cdn.net/8653-new_cart_photo/szpilki-białe.jpg,https://baldowski.b-cdn.net/8655-new_cart_photo/szpilki-białe.jpg","36,37,38,40",Szpilki białe na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki beżowe,440,,   D03207-1451-004,"https://baldowski.b-cdn.net/9121-new_cart_photo/szpilki-bezowe.jpg,https://baldowski.b-cdn.net/9123-new_cart_photo/szpilki-bezowe.jpg","37,38,39,40,41",Szpilki beżowe na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beż
BOUTIQUE ŚLUBNY ,Szpilki ślubne białe,420,,   D00580-1451-145,"https://baldowski.b-cdn.net/8319-new_cart_photo/szpilki-slubne-biale.jpg,https://baldowski.b-cdn.net/8320-new_cart_photo/szpilki-slubne-biale.jpg","38,40,41",Białe buty ślubne na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki ślubne białe,420,,   D00580-1451-161,"https://baldowski.b-cdn.net/3839-new_cart_photo/szpilki-slubne-biale.jpg,https://baldowski.b-cdn.net/3840-new_cart_photo/szpilki-slubne-biale.jpg","35,38,39,40",Białe buty ślubne na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
BOUTIQUE ŚLUBNY ,Szpilki ślubne beżowe,420,,   D00580-1451-142,"https://baldowski.b-cdn.net/5298-new_cart_photo/szpilki-slubne-bezowe.jpg,https://baldowski.b-cdn.net/5299-new_cart_photo/szpilki-slubne-bezowe.jpg","38,39,41",Beżowe buty ślubne na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beżowy (nappa 600)
BOUTIQUE ŚLUBNY ,Szpilki złote z ozdobnym spodem,610,,   D00580-1451-S04,"https://baldowski.b-cdn.net/10419-new_cart_photo/szpilki-zlote-z-ozdobnym-spodem.jpg,https://baldowski.b-cdn.net/10421-new_cart_photo/szpilki-zlote-z-ozdobnym-spodem.jpg","35,36,37,38,39,40,41",Szpilki złote na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., złoty
OUTLET DAMSKI,Kozaki czarno-bordowe,450,"700,00 ",   D02615-7633-004,"https://baldowski.b-cdn.net/8085-new_cart_photo/kozaki-czarno-bordowe.jpg,https://baldowski.b-cdn.net/7903-new_cart_photo/kozaki-czarno-bordowe.jpg",41,"Kozaki na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej zamszowej., czarno-bordowy
OUTLET DAMSKI,Kozaki czarne,400,"600,00 ",   D02373-0664-S01,"https://baldowski.b-cdn.net/5438-new_cart_photo/kozaki-czarne.jpg,https://baldowski.b-cdn.net/5437-new_cart_photo/kozaki-czarne.jpg","36,37",Czarne kozaki na 6-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
OUTLET DAMSKI,Kozaki czarne,350,"600,00 ",   D02334-3262-S02/ 004,"https://baldowski.b-cdn.net/5507-new_cart_photo/kozaki-czarne.jpg,https://baldowski.b-cdn.net/5508-new_cart_photo/kozaki-czarne.jpg",40,Czarne kozaki na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
OUTLET DAMSKI,Kozaki beżowe,400,"550,00 ",   W00188-1453-006,"https://baldowski.b-cdn.net/8105-new_cart_photo/kozaki-bezowe.jpg,https://baldowski.b-cdn.net/8107-new_cart_photo/kozaki-bezowe.jpg",41,"Beżowe kozaki na 6,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej.,beż
OUTLET DAMSKI,Botki białe,360,"560,00 ",   D02375,"https://baldowski.b-cdn.net/7893-new_cart_photo/-botki-białe.jpg,https://baldowski.b-cdn.net/7894-new_cart_photo/-botki-białe.jpg","35,36,37,38,39",Białe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
OUTLET DAMSKI,Botki czarne,330,"530,00 ",   D01721-1594-005,"https://baldowski.b-cdn.net/5519-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/5520-new_cart_photo/botki-czarne.jpg","37,41","Czarne botki na 6,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
OUTLET DAMSKI,Botki w kolorze rudym,430,"580,00 ",   D02343-4400-020,"https://baldowski.b-cdn.net/7449-new_cart_photo/botki-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/7451-new_cart_photo/botki-w-kolorze-rudym.jpg","38,39",Botki w kolorze rudym na 7-centymetrowym obcasie.," wykonane ze skóry naturalnej, zamszowej z dodatkiem gumy.", rudy
OUTLET DAMSKI,Botki czarne,520,,   D02622-2835-003,"https://baldowski.b-cdn.net/8170-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/8171-new_cart_photo/botki-czarne.jpg",35,Czarne botki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
OUTLET DAMSKI,Botki brązowe,420,"520,00 ",   D02719,"https://baldowski.b-cdn.net/8209-new_cart_photo/botki-brazowe.jpg,https://baldowski.b-cdn.net/8211-new_cart_photo/botki-brazowe.jpg",39,Brązowe botki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., brązowy
OUTLET DAMSKI,Botki czarne,330,"480,00 ",   D02410-3025-G01,"https://baldowski.b-cdn.net/6034-new_cart_photo/botki-grafitowe.jpg,https://baldowski.b-cdn.net/6035-new_cart_photo/botki-grafitowe.jpg","38,40",Botki czarne na  10-centymetrowym obcasie. ,Wykonane ze lycry., czarny
OUTLET DAMSKI,Botki w panterkę,290,"440,00 ",   D02411-3025-G07,"https://baldowski.b-cdn.net/6642-new_cart_photo/botki-w-panterke.jpg,https://baldowski.b-cdn.net/6644-new_cart_photo/botki-w-panterke.jpg",41,Botki w panterkę na  10-centymetrowym obcasie. ,Wykonane ze lycry zamszowej., brązowy
OUTLET DAMSKI,Szpilki w panterkę,300,"450,00 ",   D00580-1451-198,"https://baldowski.b-cdn.net/6579-new_cart_photo/szpilki-w-panterke.jpg,https://baldowski.b-cdn.net/6581-new_cart_photo/szpilki-w-panterke.jpg","39,40",Brązowe szpilki na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., brązowy
OUTLET DAMSKI,Szpilki multicolor,290,"490,00 ",   D02488-1451-007,"https://baldowski.b-cdn.net/6416-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/6418-new_cart_photo/szpilki-multicolor.jpg","36,41",Szpilki w zebrę czarno-białą na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czarno-biały
OUTLET DAMSKI,Szpilki niebieskie,340,"490,00 ",   D02488-1451-005,"https://baldowski.b-cdn.net/6444-new_cart_photo/szpilki-niebieskie.jpg,https://baldowski.b-cdn.net/6445-new_cart_photo/szpilki-niebieskie.jpg","36,41",Niebiesko-czarne szpilki na 10-centymetrowym obcasie., wykonane ze skóry naturalnej.," niebieski,czarny"
OUTLET DAMSKI,Szpilki w multikolorze,300,"455,00 ",   D02500-1451-006,"https://baldowski.b-cdn.net/5352-new_cart_photo/szpilki-w-multikolorze.jpg,https://baldowski.b-cdn.net/5354-new_cart_photo/szpilki-w-multikolorze.jpg","38,40,41",Multikolorowe szpilki na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., multikolor
OUTLET DAMSKI,Szpilki bordowe,300,"455,00 ",   D02500-1451-005,"https://baldowski.b-cdn.net/6504-new_cart_photo/szpilki-bordowe.jpg,https://baldowski.b-cdn.net/6506-new_cart_photo/szpilki-bordowe.jpg",41,Bordowe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., bordowy
OUTLET DAMSKI,Szpilki w panterkę,300,"455,00 ",   D02597-1451-001,"https://baldowski.b-cdn.net/6428-new_cart_photo/szpilki-w-panterke.jpg,https://baldowski.b-cdn.net/6429-new_cart_photo/szpilki-w-panterke.jpg","35,36,39",Szpilki z motywem zwierzęcym na 10-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, zamszowej.", brązowy w panterkę
OUTLET DAMSKI,Czółenka w multikolorze,380,"480,00 ",   W00548-3262-003,"https://baldowski.b-cdn.net/2997-new_cart_photo/czolenka-w-multikolorze.jpg,https://baldowski.b-cdn.net/2998-new_cart_photo/czolenka-w-multikolorze.jpg",37,Buty w multikolorze na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multikolor
OUTLET DAMSKI,Czółenka popielate,340,"440,00 ",   D02316-3262-003,"https://baldowski.b-cdn.net/2929-new_cart_photo/czolenka-popielate.jpg,https://baldowski.b-cdn.net/2891-new_cart_photo/czolenka-popielate.jpg",37,Popielate buty na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., popiel
OUTLET DAMSKI,Czółenka czarne,340,"440,00 ",   W00548-3262-009,"https://baldowski.b-cdn.net/2924-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/2880-new_cart_photo/czolenka-czarne.jpg",36,Czarne buty na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
